Date,Price
2020-11-01,10.1005985595812
2020-12-01,10.319408186928403
2021-01-01,11.01043878030853
2021-02-01,10.894434367150724
2021-03-01,10.903408012560408
2021-04-01,10.891853919577182
2021-05-01,10.37715960461417
2021-06-01,9.83529337089746
2021-07-01,10.006412469224474
2021-08-01,10.10480689473656
2021-09-01,10.303690574655512
2021-10-01,10.188602451558152
2021-11-01,10.122527353740711
2021-12-01,11.226766519273038
2022-01-01,11.397938402952462
2022-02-01,11.510210381677052
2022-03-01,11.80451850029148
2022-04-01,11.474111455920932
2022-05-01,10.687863173161134
2022-06-01,10.69607262201679
2022-07-01,10.39624846738159
2022-08-01,10.49928844266907
2022-09-01,10.405997220546114
2022-10-01,10.809296802644724
2022-11-01,11.016015794535651
2022-12-01,11.60796502612953
2023-01-01,11.61108873077784
2023-02-01,12.097581016691107
2023-03-01,11.697188880132709
2023-04-01,11.998599567056022
2023-05-01,11.483793890149178
2023-06-01,11.187322456996789
2023-07-01,10.907493592188516
2023-08-01,11.402594970306447
2023-09-01,11.099034834267103
2023-10-01,11.51541318982667
2023-11-01,11.808351866441672
2023-12-01,12.220688301195388
2024-01-01,12.807230284230577
2024-02-01,12.586630160556615
2024-03-01,12.406256814850712
2024-04-01,12.697043661606763
2024-05-01,12.07081190153513
2024-06-01,11.391732498865991
2024-07-01,11.50770304029348
2024-08-01,11.597239719120193
2024-09-01,11.502734337717087
2024-10-01,11.66183950905547
2024-11-01,11.802239289775034
2024-12-01,11.883674561439129
2025-01-01,11.874074342158696
2025-02-01,11.81947412287826
2025-03-01,11.812980376431415
2025-04-01,11.600880157150982
2025-05-01,11.452815428815075
2025-06-01,11.39521520953464
2025-07-01,11.424150481198735
2025-08-01,11.369550261918302
2025-09-01,11.412450042637866
